Car ID,Name,Production,New Price,Used Price,Image URL,Brand ID,Length,Width,Height,Weight,Wheels (F/R),Tyres (F/R),Fuel Capacity,Type,Details,Capacity,Max Power,Max Torque,Power to Weight,Torque to Weight,Specific Output,Compression,Bore x Stroke,Fuel Cons,Emissions,Class,Body,Layout,Transmission,Number Built,Overall Rating,Money No Object,Bargain Rating,Top Speed,0 - 30 mph,0 - 60 mph,0 - 100 mph,0 - 124 mph,0 - 186 mph,30 - 70 mph,Standing qtr Mile,60 - 0 mph,0 - 100 - 0 mph,Ring Lap Time,Lateral Accn,Drag Cd,Performance,Handling,Looks,Features,Quality,Costs,Desire,Eco,Practicality,Sound
303,9FF 9F-V4002004 - 2007,2004 - 2007,£n/a,£100000 - £100000,https://www.supercarworld.com/cgi-bin/showcarpic.cgi?carid=303&picnum=1,1,,,,2866 lbs,8 X 18 10 X 18,,,ICE,Twin Turbo 6 cyl,232 in3,833 bhp @7300rpm,678 lb/ft @5600rpm,651 bhp/ton,530 lbft/ton,219 bhp/litre,,,,,Hypercar,2 Door Coupe,Rear Engine Rear Drive,6 Speed Manual,20.0,72%,73%,54%,241 mph,,3.2 sec,,,,,,,,,,,9/10,9/10,8/10,9/10,9/10,6/10,7/10,2/10,5/10,8/10
595,9FF GT9 Vmax2012 - date,2012 - date,£410000,£n/a - £n/a,https://www.supercarworld.com/cgi-bin/showcarpic.cgi?carid=595&picnum=1,1,185.8 in,80.5 in,43.3 in,2954 lbs,10.5 X 18 13.5 X 19,285/35 ZR18 345/30 ZR19,,ICE,Twin Turbo 6 cyl,256 in3,1381 bhp @7900rpm,856 lb/ft @5600rpm,1047 bhp/ton,649 lbft/ton,329 bhp/litre,,,,,Hypercar,2 Door 2 Seat Coupe,Mid Engine Rear Drive,6 Speed Semi Auto,,74%,78%,37%,272 mph,,3.0 sec,,6.8 sec,12.8 sec,,,,,,,0.33,10/10,10/10,9/10,9/10,9/10,4/10,8/10,2/10,4/10,9/10
441,9FF GT9-R2008,2008,£n/a,£650000 - £650000,https://www.supercarworld.com/cgi-bin/showcarpic.cgi?carid=441&picnum=1,1,,,,2924 lbs,,,,ICE,Twin Turbo 6 cyl,244 in3,1120 bhp @rpm,774 lb/ft @rpm,858 bhp/ton,593 lbft/ton,280 bhp/litre,,,,,Hypercar,2 Door 2 Seat Coupe,Mid Engine Rear Drive,6 Speed Semi Auto,20.0,75%,78%,47%,257 mph,,2.8 sec,,7.7 sec,15.8 sec,,,,,,,,10/10,10/10,9/10,9/10,9/10,5/10,8/10,2/10,4/10,9/10
594,9FF G-Tronic2012 - date,2012 - date,£213000,£n/a - £n/a,https://www.supercarworld.com/cgi-bin/showcarpic.cgi?carid=594&picnum=1,1,,,,3417 lbs,9 X 20 12 X 20,245/30 ZR20 325/25 ZR20,,ICE,Twin Turbo 6 cyl,238 in3,1200 bhp @7200rpm,848 lb/ft @4700rpm,787 bhp/ton,556 lbft/ton,308 bhp/litre,,4.09 x 3.24 in,,,Hypercar,2 Door Coupe,Rear Engine 4 Wheel Drive,5 Speed Auto,,73%,76%,46%,221 mph,,2.4 sec,,6.3 sec,13.5 sec,,9.6sec @152mph,,,,,,9/10,10/10,9/10,9/10,9/10,5/10,8/10,2/10,4/10,8/10
723,ABT Audi R8 V102017 - date,2017 - date,£150000,£n/a - £n/a,https://www.supercarworld.com/cgi-bin/showcarpic.cgi?carid=723&picnum=1,2,174.3 in,76.4 in,48.8 in,3318 lbs,? X 20 ? X 20,,,ICE,V10,318 in3,621 bhp @8250rpm,413 lb/ft @6500rpm,419 bhp/ton,279 lbft/ton,119 bhp/litre,,,,,Supercar,2 Door 2 Seat Coupe,Mid Engine 4 Wheel Drive,7 Speed Dual Clutch,,74%,77%,46%,205 mph,,2.7 sec,,,,,10.6sec @130mph,,,,,,9/10,9/10,9/10,9/10,9/10,5/10,8/10,5/10,3/10,8/10
705,AC 378 GT Zagato2012 - 2014,2012 - 2014,£n/a,£n/a - £n/a,https://www.supercarworld.com/cgi-bin/showcarpic.cgi?carid=705&picnum=1,3,173.0 in,76.0 in,49.0 in,3230 lbs,,,,ICE,V8,378 in3,434 bhp @5900rpm,430 lb/ft @4600rpm,301 bhp/ton,298 lbft/ton,70 bhp/litre,,,,,GT,2 Door 2 Seat Coupe,Front Engine Rear Drive,6 Speed Manual,15.0,68%,68%,60%,186 mph,,3.8 sec,8.9 sec,,,,12.2sec @???mph,,,,,,8/10,8/10,8/10,7/10,7/10,7/10,7/10,4/10,4/10,8/10
25,AC Cobra 4271965 - 1967,1965 - 1967,£n/a,£1000000 - £1000000,https://www.supercarworld.com/cgi-bin/showcarpic.cgi?carid=025&picnum=1,3,,,,2530 lbs,,,,ICE,V8,427 in3,485 bhp @6500rpm,480 lb/ft @3700rpm,429 bhp/ton,425 lbft/ton,69 bhp/litre,,,,,Supercar,2 Door 2 Seat Convertible,Front Engine Rear Drive,4 Speed Manual,306.0,52%,54%,20%,160 mph,,4.2 sec,10.2 sec,,,,,,,,,,7/10,4/10,7/10,5/10,6/10,3/10,8/10,1/10,3/10,8/10
135,AC Superblower1997 - 2002,1997 - 2002,£n/a,£120000 - £120000,https://www.supercarworld.com/cgi-bin/showcarpic.cgi?carid=135&picnum=1,3,165.4 in,68.5 in,47.2 in,2535 lbs,,,,ICE,Supercharged V8,302 in3,355 bhp @5700rpm,385 lb/ft @3750rpm,314 bhp/ton,340 lbft/ton,72 bhp/litre,,,,,Supercar,2 Door 2 Seat Convertible,Front Engine Rear Drive,5 Speed Manual,,56%,56%,42%,165 mph,,4.3 sec,,,,,,,,,,,7/10,5/10,6/10,7/10,6/10,6/10,7/10,1/10,3/10,8/10
724,AC Schnitzer ACS82017 - date,2017 - date,£125000,£n/a - £n/a,https://www.supercarworld.com/cgi-bin/showcarpic.cgi?carid=724&picnum=1,4,184.6 in,76.5 in,50.1 in,3252 lbs,? X 21 ? X 21,245/35 21 285/30 21,6.6 gal,Hybrid,Turbo 3 cyl Petrol/Electric,91 in3,357 bhp @5800rpm,420 lb/ft @3700rpm,246 bhp/ton,289 lbft/ton,238 bhp/litre,9.5:1,3.70 X 3.20 in,134 mpg,49 g/Km Co2,Supercar,2 Door 2+2 Seat Coupe,Front Engine 4 Wheel Drive,6 Speed Automatic,,75%,77%,56%,155 mph,,4.1 sec,9.6 sec,14.5 sec,,,12.4sec @112mph,,,,,,7/10,7/10,9/10,9/10,9/10,6/10,8/10,9/10,6/10,5/10
966,AC Schnitzer ACS8 5.0i2019 - date,2019 - date,£n/a,£n/a - £n/a,https://www.supercarworld.com/cgi-bin/showcarpic.cgi?carid=966&picnum=1,4,191.0 in,,53.0 in,4167 lbs,8.5 X 20 10 X 20,245/35 R20 285/30 R20,,ICE,Twin Turbo V8,268 in3,620 bhp @rpm,620 lb/ft @rpm,333 bhp/ton,333 lbft/ton,141 bhp/litre,,,,,GT,2 Door 4 Seat Coupe/Convertible,Front Engine 4 Wheel Drive,8 Speed Automatic,,78%,80%,59%,,,,,,,,,,,,,,7/10,8/10,9/10,9/10,9/10,6/10,8/10,7/10,8/10,7/10
